Id_Dep,Id_Mun,Departamento,Municipio,Pobl. Pueblo Orig,Pobl. Pueblo Maya
12,1204,San Marcos,Comitancillo,59131,59062
12,1205,San Marcos,San Miguel Ixtahuacán,46515,46437
12,1206,San Marcos,Concepción Tutuapa,66371,66318
12,1207,San Marcos,Tacaná,7238,7099
12,1208,San Marcos,Sibinal,1230,1212
12,1209,San Marcos,Tajumulco,48901,48843
12,1210,San Marcos,Tejutla,4393,4327
12,1211,San Marcos,San Rafael Pie de la Cuesta,333,309
12,1212,San Marcos,Nuevo Progreso,571,530
12,1213,San Marcos,El Tumbador,1436,1392
12,1214,San Marcos,El Rodeo,158,146
12,1215,San Marcos,Malacatán,4314,4210
12,1216,San Marcos,Catarina,1027,990
12,1217,San Marcos,Ayutla,691,656
12,1218,San Marcos,Ocós,85,75
12,1219,San Marcos,San Pablo,3124,3058
12,1220,San Marcos,El Quetzal,105,85
12,1221,San Marcos,La Reforma,81,65
12,1222,San Marcos,Pajapita,157,134
12,1223,San Marcos,Ixchiguán,20196,20170
12,1224,San Marcos,San José Ojetenam,1636,1612
12,1225,San Marcos,San Cristóbal Cucho,1714,1707
12,1226,San Marcos,Sipacapa,18520,18498
12,1227,San Marcos,Esquipulas Palo Gordo,498,447
12,1228,San Marcos,Río Blanco,1956,1951
12,1229,San Marcos,San Lorenzo,7701,7675
12,1230,San Marcos,La Blanca,185,161
13,1301,Huehuetenango,Huehuetenango,8933,8742
13,1302,Huehuetenango,Chiantla,8473,8223
13,1303,Huehuetenango,Malacatancito,5781,5752
13,1304,Huehuetenango,Cuilco,11985,11890
13,1305,Huehuetenango,Nentón,35646,35612
13,1306,Huehuetenango,San Pedro Necta,31568,31512
13,1307,Huehuetenango,Jacaltenango,36376,36325
13,1308,Huehuetenango,Soloma,47119,46985
13,1309,Huehuetenango,Ixtahuacán,41673,41626
13,1310,Huehuetenango,Santa Bárbara,33290,33257
13,1311,Huehuetenango,La Libertad,6278,5897
13,1312,Huehuetenango,La Democracia,25488,25415
13,1313,Huehuetenango,San Miguel Acatán,27062,27042
13,1314,Huehuetenango,San Rafael La Independencia,14114,14092
13,1315,Huehuetenango,Todos Santos Cuchumatán,26589,26554
13,1316,Huehuetenango,San Juan Atitán,19366,19348
13,1317,Huehuetenango,Santa Eulalia,38927,38887
13,1318,Huehuetenango,San Mateo Ixtatán,42860,42798
13,1319,Huehuetenango,Colotenango,34327,34300
13,1320,Huehuetenango,San Sebastián Huehuetenango,31257,31220
13,1321,Huehuetenango,Tectitán,2093,2047
13,1322,Huehuetenango,Concepción Huista,17790,17756
13,1323,Huehuetenango,San Juan Ixcoy,22108,21975
13,1324,Huehuetenango,San Antonio Huista,4371,4353
13,1325,Huehuetenango,San Sebastián Coatán,20864,20854
13,1326,Huehuetenango,Barillas,86423,86177
13,1327,Huehuetenango,Aguacatán,44037,43967
13,1328,Huehuetenango,San Rafael Petzal,11011,11002
13,1329,Huehuetenango,San Gaspar Ixchil,8123,8122
13,1330,Huehuetenango,Santiago Chimaltenango,10470,10464
13,1331,Huehuetenango,Santa Ana Huista,2834,2823
13,1332,Huehuetenango,Unión Cantinil,689,681
13,1333,Huehuetenango,Petatán,5179,5173
14,1401,Quiché,Santa Cruz del Quiché,65507,65335
14,1402,Quiché,Chiché,28788,28766
14,1403,Quiché,Chinique,9240,9235
14,1404,Quiché,Zacualpa,31319,31264
14,1405,Quiché,Chajul,42714,42627
