Id_Dep,Id_Mun,Departamento,Municipio,Grupo Edad,Pobl. Grupo Edad
1,116,Guatemala,Villa Canales,20 - 24,16436
1,116,Guatemala,Villa Canales,25 - 29,13948
1,116,Guatemala,Villa Canales,30 - 34,11320
1,116,Guatemala,Villa Canales,35 - 39,11137
1,116,Guatemala,Villa Canales,40 - 44,9221
1,116,Guatemala,Villa Canales,45 - 49,7302
1,116,Guatemala,Villa Canales,5 - 9,15641
1,116,Guatemala,Villa Canales,50 - 54,6133
1,116,Guatemala,Villa Canales,55 - 59,4854
1,116,Guatemala,Villa Canales,60 - 64,3858
1,116,Guatemala,Villa Canales,65 - 69,2846
1,116,Guatemala,Villa Canales,70  - 74,1862
1,116,Guatemala,Villa Canales,75 - 79,1294
1,116,Guatemala,Villa Canales,80 - 84,783
1,116,Guatemala,Villa Canales,85 - 89,436
1,116,Guatemala,Villa Canales,90  - 94,170
1,116,Guatemala,Villa Canales,95 - 99,52
1,117,Guatemala,Petapa,0 - 4,11016
1,117,Guatemala,Petapa,10 - 14,12498
1,117,Guatemala,Petapa,100 o más,3
1,117,Guatemala,Petapa,15 - 19,13744
1,117,Guatemala,Petapa,20 - 24,14210
1,117,Guatemala,Petapa,25 - 29,12662
1,117,Guatemala,Petapa,30 - 34,10470
1,117,Guatemala,Petapa,35 - 39,10385
1,117,Guatemala,Petapa,40 - 44,9239
1,117,Guatemala,Petapa,45 - 49,7560
1,117,Guatemala,Petapa,5 - 9,12052
1,117,Guatemala,Petapa,50 - 54,6356
1,117,Guatemala,Petapa,55 - 59,4915
1,117,Guatemala,Petapa,60 - 64,3806
1,117,Guatemala,Petapa,65 - 69,2637
1,117,Guatemala,Petapa,70  - 74,1586
1,117,Guatemala,Petapa,75 - 79,1087
1,117,Guatemala,Petapa,80 - 84,632
1,117,Guatemala,Petapa,85 - 89,405
1,117,Guatemala,Petapa,90  - 94,137
1,117,Guatemala,Petapa,95 - 99,47
2,201,El Progreso,Guastatoya,0 - 4,2266
2,201,El Progreso,Guastatoya,10 - 14,2169
2,201,El Progreso,Guastatoya,100 o más,3
2,201,El Progreso,Guastatoya,15 - 19,2531
2,201,El Progreso,Guastatoya,20 - 24,2358
2,201,El Progreso,Guastatoya,25 - 29,2167
2,201,El Progreso,Guastatoya,30 - 34,1898
2,201,El Progreso,Guastatoya,35 - 39,1801
2,201,El Progreso,Guastatoya,40 - 44,1491
2,201,El Progreso,Guastatoya,45 - 49,1129
2,201,El Progreso,Guastatoya,5 - 9,2203
2,201,El Progreso,Guastatoya,50 - 54,1045
2,201,El Progreso,Guastatoya,55 - 59,1012
2,201,El Progreso,Guastatoya,60 - 64,857
2,201,El Progreso,Guastatoya,65 - 69,646
2,201,El Progreso,Guastatoya,70  - 74,456
2,201,El Progreso,Guastatoya,75 - 79,341
2,201,El Progreso,Guastatoya,80 - 84,212
2,201,El Progreso,Guastatoya,85 - 89,147
2,201,El Progreso,Guastatoya,90  - 94,68
2,201,El Progreso,Guastatoya,95 - 99,21
2,202,El Progreso,Morazán,0 - 4,1169
2,202,El Progreso,Morazán,10 - 14,1213
2,202,El Progreso,Morazán,100 o más,2
2,202,El Progreso,Morazán,15 - 19,1228
2,202,El Progreso,Morazán,20 - 24,1130
2,202,El Progreso,Morazán,25 - 29,1012
2,202,El Progreso,Morazán,30 - 34,804
2,202,El Progreso,Morazán,35 - 39,742
2,202,El Progreso,Morazán,40 - 44,625
2,202,El Progreso,Morazán,45 - 49,554
2,202,El Progreso,Morazán,5 - 9,1167
2,202,El Progreso,Morazán,50 - 54,539
2,202,El Progreso,Morazán,55 - 59,474
2,202,El Progreso,Morazán,60 - 64,399
2,202,El Progreso,Morazán,65 - 69,377
2,202,El Progreso,Morazán,70  - 74,253
2,202,El Progreso,Morazán,75 - 79,208
2,202,El Progreso,Morazán,80 - 84,126
2,202,El Progreso,Morazán,85 - 89,87
2,202,El Progreso,Morazán,90  - 94,44
2,202,El Progreso,Morazán,95 - 99,11
2,203,El Progreso,San Agustín Acasaguastlán,0 - 4,5487
2,203,El Progreso,San Agustín Acasaguastlán,10 - 14,5145
2,203,El Progreso,San Agustín Acasaguastlán,100 o más,3
2,203,El Progreso,San Agustín Acasaguastlán,15 - 19,5325
2,203,El Progreso,San Agustín Acasaguastlán,20 - 24,4424
2,203,El Progreso,San Agustín Acasaguastlán,25 - 29,3621
2,203,El Progreso,San Agustín Acasaguastlán,30 - 34,2877
2,203,El Progreso,San Agustín Acasaguastlán,35 - 39,2706
2,203,El Progreso,San Agustín Acasaguastlán,40 - 44,2269
2,203,El Progreso,San Agustín Acasaguastlán,45 - 49,1806
2,203,El Progreso,San Agustín Acasaguastlán,5 - 9,5456
2,203,El Progreso,San Agustín Acasaguastlán,50 - 54,1565
2,203,El Progreso,San Agustín Acasaguastlán,55 - 59,1378
2,203,El Progreso,San Agustín Acasaguastlán,60 - 64,1114
2,203,El Progreso,San Agustín Acasaguastlán,65 - 69,859
2,203,El Progreso,San Agustín Acasaguastlán,70  - 74,637
2,203,El Progreso,San Agustín Acasaguastlán,75 - 79,451
2,203,El Progreso,San Agustín Acasaguastlán,80 - 84,325
2,203,El Progreso,San Agustín Acasaguastlán,85 - 89,227
2,203,El Progreso,San Agustín Acasaguastlán,90  - 94,74
2,203,El Progreso,San Agustín Acasaguastlán,95 - 99,16
2,204,El Progreso,San Cristóbal Acasaguastlán,0 - 4,653
2,204,El Progreso,San Cristóbal Acasaguastlán,10 - 14,731
2,204,El Progreso,San Cristóbal Acasaguastlán,100 o más,1
2,204,El Progreso,San Cristóbal Acasaguastlán,15 - 19,811
2,204,El Progreso,San Cristóbal Acasaguastlán,20 - 24,671
2,204,El Progreso,San Cristóbal Acasaguastlán,25 - 29,581
2,204,El Progreso,San Cristóbal Acasaguastlán,30 - 34,477
2,204,El Progreso,San Cristóbal Acasaguastlán,35 - 39,479
2,204,El Progreso,San Cristóbal Acasaguastlán,40 - 44,386
2,204,El Progreso,San Cristóbal Acasaguastlán,45 - 49,326
2,204,El Progreso,San Cristóbal Acasaguastlán,5 - 9,799
2,204,El Progreso,San Cristóbal Acasaguastlán,50 - 54,282
2,204,El Progreso,San Cristóbal Acasaguastlán,55 - 59,257
2,204,El Progreso,San Cristóbal Acasaguastlán,60 - 64,227
2,204,El Progreso,San Cristóbal Acasaguastlán,65 - 69,180
2,204,El Progreso,San Cristóbal Acasaguastlán,70  - 74,118
2,204,El Progreso,San Cristóbal Acasaguastlán,75 - 79,88
2,204,El Progreso,San Cristóbal Acasaguastlán,80 - 84,60
2,204,El Progreso,San Cristóbal Acasaguastlán,85 - 89,49
2,204,El Progreso,San Cristóbal Acasaguastlán,90  - 94,18
2,204,El Progreso,San Cristóbal Acasaguastlán,95 - 99,5
2,205,El Progreso,El Jícaro,0 - 4,1219
2,205,El Progreso,El Jícaro,10 - 14,1219
2,205,El Progreso,El Jícaro,100 o más,1
2,205,El Progreso,El Jícaro,15 - 19,1411
2,205,El Progreso,El Jícaro,20 - 24,1301
2,205,El Progreso,El Jícaro,25 - 29,1088
2,205,El Progreso,El Jícaro,30 - 34,920
2,205,El Progreso,El Jícaro,35 - 39,893
2,205,El Progreso,El Jícaro,40 - 44,726
2,205,El Progreso,El Jícaro,45 - 49,589
2,205,El Progreso,El Jícaro,5 - 9,1254
2,205,El Progreso,El Jícaro,50 - 54,560
2,205,El Progreso,El Jícaro,55 - 59,504
2,205,El Progreso,El Jícaro,60 - 64,379
2,205,El Progreso,El Jícaro,65 - 69,344
2,205,El Progreso,El Jícaro,70  - 74,254
2,205,El Progreso,El Jícaro,75 - 79,200
2,205,El Progreso,El Jícaro,80 - 84,147
2,205,El Progreso,El Jícaro,85 - 89,77
2,205,El Progreso,El Jícaro,90  - 94,30
2,205,El Progreso,El Jícaro,95 - 99,12
2,206,El Progreso,Sanarate,0 - 4,1183
