MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
920,4,1132,Hombre,Ladina (o)
920,4,19,Hombre,Maya
920,4,2,Mujer,Afrodescendiente/Creole/Afromestizo
920,4,1093,Mujer,Ladina (o)
920,4,22,Mujer,Maya
921,4,1,Hombre,Garífuna
921,4,362,Hombre,Ladina (o)
921,4,101,Hombre,Maya
921,4,1,Mujer,Extranjera (o)
921,4,363,Mujer,Ladina (o)
921,4,125,Mujer,Maya
922,4,1,Hombre,Extranjera (o)
922,4,225,Hombre,Ladina (o)
922,4,9,Hombre,Maya
922,4,1,Mujer,Afrodescendiente/Creole/Afromestizo
922,4,193,Mujer,Ladina (o)
922,4,9,Mujer,Maya
923,4,1,Hombre,Extranjera (o)
923,4,106,Hombre,Ladina (o)
923,4,126,Hombre,Maya
923,4,2,Mujer,Extranjera (o)
923,4,90,Mujer,Ladina (o)
923,4,121,Mujer,Maya
924,4,2,Hombre,Extranjera (o)
924,4,50,Hombre,Ladina (o)
924,4,191,Hombre,Maya
924,4,56,Mujer,Ladina (o)
924,4,192,Mujer,Maya
901,5,1,Hombre,Afrodescendiente/Creole/Afromestizo
901,5,6,Hombre,Extranjera (o)
901,5,1,Hombre,Garífuna
901,5,840,Hombre,Ladina (o)
901,5,779,Hombre,Maya
901,5,2,Mujer,Afrodescendiente/Creole/Afromestizo
901,5,3,Mujer,Extranjera (o)
901,5,858,Mujer,Ladina (o)
901,5,748,Mujer,Maya
901,5,1,Mujer,Xinka
902,5,1,Hombre,Afrodescendiente/Creole/Afromestizo
902,5,1,Hombre,Extranjera (o)
902,5,110,Hombre,Ladina (o)
902,5,93,Hombre,Maya
902,5,1,Mujer,Extranjera (o)
902,5,113,Mujer,Ladina (o)
902,5,73,Mujer,Maya
903,5,1,Hombre,Afrodescendiente/Creole/Afromestizo
903,5,1,Hombre,Garífuna
903,5,90,Hombre,Ladina (o)
903,5,265,Hombre,Maya
903,5,1,Mujer,Afrodescendiente/Creole/Afromestizo
903,5,1,Mujer,Extranjera (o)
903,5,80,Mujer,Ladina (o)
903,5,293,Mujer,Maya
904,5,1,Hombre,Afrodescendiente/Creole/Afromestizo
904,5,180,Hombre,Ladina (o)
904,5,145,Hombre,Maya
904,5,181,Mujer,Ladina (o)
904,5,150,Mujer,Maya
905,5,77,Hombre,Ladina (o)
905,5,5,Hombre,Maya
905,5,81,Mujer,Ladina (o)
905,5,6,Mujer,Maya
906,5,60,Hombre,Ladina (o)
906,5,224,Hombre,Maya
906,5,52,Mujer,Ladina (o)
906,5,204,Mujer,Maya
907,5,6,Hombre,Ladina (o)
907,5,192,Hombre,Maya
907,5,9,Mujer,Ladina (o)
907,5,215,Mujer,Maya
908,5,1,Hombre,Garífuna
908,5,9,Hombre,Ladina (o)
908,5,118,Hombre,Maya
908,5,5,Mujer,Ladina (o)
908,5,120,Mujer,Maya
909,5,4,Hombre,Afrodescendiente/Creole/Afromestizo
909,5,2,Hombre,Garífuna
909,5,84,Hombre,Ladina (o)
909,5,577,Hombre,Maya
909,5,1,Mujer,Afrodescendiente/Creole/Afromestizo
909,5,1,Mujer,Extranjera (o)
909,5,73,Mujer,Ladina (o)
909,5,551,Mujer,Maya
910,5,58,Hombre,Ladina (o)
910,5,26,Hombre,Maya
910,5,1,Mujer,Extranjera (o)
910,5,50,Mujer,Ladina (o)
910,5,16,Mujer,Maya
911,5,1,Hombre,Afrodescendiente/Creole/Afromestizo
911,5,1,Hombre,Garífuna
911,5,1,Hombre,Ladina (o)
911,5,238,Hombre,Maya
911,5,3,Mujer,Ladina (o)
911,5,220,Mujer,Maya
912,5,1,Hombre,Garífuna
912,5,37,Hombre,Ladina (o)
912,5,343,Hombre,Maya
912,5,1,Mujer,Garífuna
912,5,44,Mujer,Ladina (o)
912,5,360,Mujer,Maya
913,5,3,Hombre,Ladina (o)
913,5,143,Hombre,Maya
913,5,1,Mujer,Ladina (o)
913,5,166,Mujer,Maya
914,5,24,Hombre,Ladina (o)
914,5,385,Hombre,Maya
914,5,2,Mujer,Afrodescendiente/Creole/Afromestizo
914,5,19,Mujer,Ladina (o)
914,5,375,Mujer,Maya
915,5,11,Hombre,Ladina (o)
915,5,207,Hombre,Maya
915,5,16,Mujer,Ladina (o)
915,5,189,Mujer,Maya
916,5,31,Hombre,Ladina (o)
916,5,102,Hombre,Maya
916,5,24,Mujer,Ladina (o)
916,5,106,Mujer,Maya
917,5,534,Hombre,Ladina (o)
917,5,11,Hombre,Maya
917,5,2,Mujer,Extranjera (o)
917,5,1,Mujer,Garífuna
917,5,526,Mujer,Ladina (o)
917,5,13,Mujer,Maya
918,5,93,Hombre,Maya
918,5,2,Mujer,Ladina (o)
918,5,86,Mujer,Maya
